group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8
2,1,00010002,13.4943773427738,16.1182840483132,11.8284048313203,14.4106622240733,10.6622240733028,9.53769262807164,10.7455226988755,13.1611828404831,0.0424083769633508,0.0418831168831169,0.0412790697674418,0.0400462962962963,0.0418300653594771,0.0360062893081761,0.043,0.0454022988505747,191,231,172,216,153,159,150,174
2,2,00010003,10.4123281965848,10.9121199500208,17.2428154935444,12.4947938359017,12.7446897126197,7.7884214910454,16.7430237401083,11.5785089546022,0.0469924812030075,0.0430921052631579,0.0638888888888889,0.0487012987012987,0.051,0.0436915887850467,0.0571022727272727,0.0503623188405797,133,152,162,154,150,107,176,138
2,3,00010004,10.9537692628072,11.9533527696793,16.2432319866722,17.5343606830487,9.57934194085798,8.91295293627655,11.911703456893,12.8696376509788,0.0398484848484848,0.0459935897435897,0.0563583815028902,0.0556878306878307,0.046,0.0428,0.0521897810218978,0.0449127906976744,165,156,173,189,125,125,137,172
2,4,00010005,11.8700541441066,13.2444814660558,16.7430237401083,9.91253644314869,13.0362349021241,9.24614743856726,12.411495210329,13.4527280299875,0.0426646706586826,0.0454285714285714,0.0507575757575758,0.0419014084507042,0.0501602564102564,0.0396428571428571,0.0490131578947368,0.0456214689265537,167,175,198,142,156,140,152,177
2,5,00010006,15.9100374843815,13.2861307788421,11.7867555185339,9.78758850478967,14.493960849646,8.49645980841316,13.1611828404831,13.0778842149105,0.0420704845814978,0.0435792349726776,0.0399717514124294,0.0399659863945578,0.0568627450980392,0.0333333333333333,0.0411458333333333,0.0443502824858757,227,183,177,147,153,153,192,177
2,6,00010007,9.57934194085798,15.6601416076635,14.868804664723,13.1611828404831,10.3290295710121,12.9945855893378,10.9537692628072,12.411495210329,0.0388513513513514,0.0437209302325581,0.0521929824561403,0.0475903614457831,0.0442857142857143,0.0410526315789474,0.0408385093167702,0.0438235294117647,148,215,171,166,140,190,161,170
2,7,00010010,10.5372761349438,13.7859225322782,16.3681799250312,12.411495210329,11.1203665139525,11.4535610162432,9.70428987921699,14.618908788005,0.0416118421052632,0.0489644970414201,0.0602760736196319,0.0446107784431138,0.0534,0.0464527027027027,0.0458661417322835,0.0492977528089888,152,169,163,167,125,148,127,178
2,8,00010012,12.161599333611,12.411495210329,13.1611828404831,12.7030403998334,14.868804664723,9.57934194085798,12.8279883381924,12.2448979591837,0.0403314917127072,0.0454268292682927,0.0487654320987654,0.0412162162162162,0.0521929824561403,0.0402097902097902,0.0506578947368421,0.0422413793103448,181,164,162,185,171,143,152,174
2,9,00010016,13.5776759683465,14.9104539775094,14.4523115368596,13.5360266555602,9.99583506872137,9.32944606413994,10.5789254477301,13.6193252811329,0.0426701570680628,0.0397777777777778,0.0468918918918919,0.0390625,0.0375,0.0329411764705882,0.0394409937888199,0.0428010471204188,191,225,185,208,160,170,161,191
2,10,00010017,11.4119117034569,12.2448979591837,15.4935443565181,11.2036651395252,9.4960433152853,12.9112869637651,12.3698458975427,14.868804664723,0.0410179640718563,0.0427325581395349,0.0528409090909091,0.0425632911392405,0.0398601398601399,0.0509868421052631,0.0439349112426035,0.051,167,172,176,158,143,152,169,175
2,11,00010019,11.2869637650979,11.2453144523115,15.7434402332362,11.7034568929613,10.6622240733028,7.5801749271137,17.1595168679717,14.618908788005,0.0384943181818182,0.0387931034482758,0.0467821782178218,0.0418154761904762,0.040251572327044,0.034469696969697,0.0483568075117371,0.0459424083769633,176,174,202,168,159,132,213,191
2,12,00010020,13.4943773427738,12.7863390254061,14.6605581007913,15.7017909204498,11.911703456893,8.7463556851312,11.4535610162432,11.2453144523115,0.0447513812154696,0.0426388888888889,0.0520710059171598,0.0464285714285714,0.0493103448275862,0.0397727272727273,0.0509259259259259,0.0456081081081081,181,180,169,203,145,132,135,148
2,13,00010021,14.0774677217826,12.28654727197,12.4531445231154,15.7017909204498,14.7855060391504,8.7463556851312,10.6622240733028,11.2869637650979,0.0431122448979592,0.0436390532544379,0.04671875,0.0504010695187166,0.0558176100628931,0.0426829268292683,0.0484848484848485,0.0454697986577181,196,169,160,187,159,123,132,149
