group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5
2,1,02,22.2638888888889,26.25,14.4444444444444,23.9166666666667,13.1111111111111,0.119270833333333,0.150477707006369,0.0948905109489051,0.155978260869565,0.0967213114754098,168,157,137,138,122
2,2,03,21.3611111111111,27.0138888888889,12.7777777777778,25.1388888888889,13.7083333333333,0.133506944444444,0.181436567164179,0.102678571428571,0.162769784172662,0.118629807692308,144,134,112,139,104
2,3,05,25.9444444444444,26.5,13.9444444444444,22.4444444444444,11.1527777777778,0.121614583333333,0.151910828025478,0.102032520325203,0.134666666666667,0.0904279279279279,192,157,123,150,111
2,4,07,18.6527777777778,28.1944444444444,13.5694444444444,26.3055555555556,13.2777777777778,0.0847853535353535,0.151946107784431,0.0897977941176471,0.12866847826087,0.0775974025974026,198,167,136,184,154
2,5,09,18.4027777777778,31.125,14.25,24.4027777777778,11.8194444444444,0.0880984042553191,0.139365671641791,0.0860738255033557,0.117446524064171,0.0759821428571429,188,201,149,187,140
2,6,11,22.2083333333333,26.6388888888889,11.6666666666667,25.8611111111111,13.5694444444444,0.119685628742515,0.158774834437086,0.0760869565217391,0.142791411042945,0.0946705426356589,167,151,138,163,129
2,7,12,17.3888888888889,28.625,12.8472222222222,27.5833333333333,13.5416666666667,0.0745238095238095,0.122678571428571,0.0765728476821192,0.126015228426396,0.0677083333333333,210,210,151,197,180
2,8,13,15.1111111111111,30.1805555555556,12.5,28.5694444444444,13.6388888888889,0.0693877551020408,0.131856796116505,0.0669642857142857,0.126662561576355,0.0705459770114943,196,206,168,203,174
2,9,14,17.9583333333333,30.4166666666667,9.25,28.0833333333333,14.2777777777778,0.0773325358851675,0.14484126984127,0.0621268656716418,0.130283505154639,0.0845394736842105,209,189,134,194,152
2,10,15,23.0972222222222,27.1944444444444,10.6944444444444,23.5416666666667,15.4722222222222,0.144357638888889,0.158928571428571,0.09625,0.144132653061224,0.123230088495575,144,154,100,147,113
2,11,16,14.4583333333333,33.0416666666667,16.5972222222222,23.9861111111111,11.9027777777778,0.0647388059701493,0.136410550458716,0.088387573964497,0.112434895833333,0.0682324840764331,201,218,169,192,157
2,12,18,20.4027777777778,28.6944444444444,11.5555555555556,25.6527777777778,13.6944444444444,0.0922738693467337,0.14590395480226,0.0732394366197183,0.127555248618785,0.0832770270270271,199,177,142,181,148
2,13,19,22.2083333333333,28.2083333333333,8.98611111111111,25.5,15.0833333333333,0.185069444444444,0.253875,0.103685897435897,0.19125,0.145967741935484,108,100,78,120,93
