group,subject,SubjectID,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7
2,1,12000058,11.4412663149125,13.4684809775062,18.0227714523743,16.0788669813941,17.1063593446265,12.7742293807276,11.0802554845876,0.0318885448916408,0.0332191780821917,0.0343749999999999,0.0322383073496659,0.0315573770491803,0.0305039787798408,0.0283380681818181,323,365,472,449,488,377,352
2,2,12000070,14.0794223826715,13.5240211052485,16.7453485143016,14.8292141071924,14.8569841710636,12.1355179116912,13.8294918078312,0.030322966507177,0.0287825059101654,0.0314062499999999,0.0307603686635944,0.0314705882352941,0.0283766233766233,0.031679389312977,418,423,480,434,425,385,393
2,3,12000104,13.1630102749236,11.524576506526,17.384059983338,16.4676478755901,16.3287975562344,13.0241599555679,12.1077478478201,0.0337606837606837,0.03125,0.0363953488372093,0.0319504310344827,0.0333333333333333,0.0299107142857142,0.031054131054131,351,332,430,464,441,392,351
2,4,12000126,12.7742293807276,16.0510969175229,13.9405720633157,15.4123854484865,15.884476534296,13.4407109136351,12.4965287420161,0.0315068493150684,0.0335266821345707,0.0325974025974026,0.0316059225512528,0.0299163179916317,0.0307888040712468,0.0304878048780487,365,431,385,439,478,393,369
2,5,12000182,13.3296306581505,13.80172174396,16.8841988336573,15.1902249375174,14.6903637878367,14.5792835323521,11.524576506526,0.0303030303030303,0.0316964285714285,0.0332603938730853,0.0299234135667396,0.0293888888888888,0.0296945701357466,0.0288194444444444,396,392,457,457,450,442,360
2,6,12000216,11.6356567620106,12.1077478478201,17.2452096639822,16.7731185781727,17.967231324632,12.4132185504027,11.8578172729797,0.0302745664739884,0.033030303030303,0.0365294117647058,0.0313929313929313,0.0314077669902912,0.0307851239669421,0.0305873925501432,346,330,425,481,515,363,349
2,7,12000238,12.8019994445987,13.1630102749236,16.4954179394613,14.7181338517079,14.3571230213829,11.5523465703971,16.9119688975285,0.0289572864321608,0.0302295918367346,0.0333707865168539,0.0293791574279379,0.0299883990719257,0.0297142857142857,0.0338333333333333,398,392,445,451,431,350,450
2,8,12000294,12.7464593168564,14.0516523188003,14.6348236600944,17.1618994723688,17.3007497917245,12.3576784226604,11.7467370174951,0.0310975609756097,0.0324358974358974,0.0307109557109557,0.031149193548387,0.0320473251028806,0.0298257372654155,0.0297887323943661,369,390,429,496,486,373,355
2,9,12000339,15.1346848097751,15.8289364065537,14.551513468481,13.1352402110525,14.4682032768675,11.5523465703971,15.3290752568731,0.0323634204275534,0.0344202898550724,0.0320293398533007,0.0300126903553299,0.0310119047619047,0.0309523809523809,0.0312925170068027,421,414,409,394,420,336,441
2,10,12000362,12.1355179116912,12.0244376562066,17.6339905581783,16.4121077478478,14.3848930852541,14.1071924465426,13.3018605942794,0.0294474393530997,0.0297390109890109,0.0350441501103752,0.0313029661016949,0.029566210045662,0.0285393258426966,0.0285799522673031,371,364,453,472,438,445,419
2,11,12000373,11.3857261871702,15.5234657039711,17.0508192168842,13.0241599555679,14.745903915579,16.4676478755901,11.8022771452374,0.0311550151975684,0.0345915841584158,0.0347285067873303,0.0313502673796791,0.0322992700729927,0.0334650112866817,0.0316220238095238,329,404,442,374,411,443,336
2,12,12000384,14.3293529575118,14.3015828936407,15.4956956401,15.5790058317134,14.8292141071924,12.8019994445987,12.663149125243,0.0336814621409921,0.032928388746803,0.0320689655172413,0.0318027210884353,0.0324029126213592,0.0304089709762533,0.0308943089430894,383,391,435,441,412,379,369
2,13,12000463,14.5237434046098,11.7467370174951,17.2729797278534,15.7733962788114,16.3010274923632,9.71952235490142,14.6625937239656,0.0318126520681265,0.0306521739130434,0.0335129310344827,0.0300211416490486,0.0306367432150313,0.0281350482315112,0.0299999999999999,411,345,464,473,479,311,440
2,14,12000485,12.857539572341,15.5234657039711,16.2454873646209,13.5517911691197,14.2738128297695,13.1074701471813,14.4404332129964,0.0317123287671233,0.0320527522935779,0.0333904109589041,0.0313624678663239,0.0308153477218225,0.0316353887399463,0.0311004784688995,365,436,438,389,417,373,418
2,15,12000519,14.6348236600944,14.1071924465426,14.4126631491252,15.3013051930019,16.5787281310747,12.7464593168564,12.2188281033046,0.0312203791469194,0.0324808184143222,0.031115107913669,0.0294967880085653,0.0304591836734693,0.0314383561643835,0.0301369863013698,422,391,417,467,490,365,365
2,16,12000520,16.2732574284921,14.3571230213829,14.3848930852541,14.1349625104138,13.5517911691197,12.7742293807276,14.5237434046098,0.0338337182448036,0.0331410256410256,0.034078947368421,0.0310365853658536,0.0310432569974554,0.0297157622739018,0.0303364269141531,433,390,380,410,393,387,431
2,17,12000542,13.5517911691197,17.4396001110803,15.8567064704249,11.718966953624,14.6903637878367,13.5517911691197,13.1907803387948,0.030886075949367,0.0360091743119266,0.0343149038461538,0.030316091954023,0.0311176470588235,0.0311224489795918,0.0302162849872773,395,436,416,348,425,392,393
2,18,12000575,13.1630102749236,14.8569841710636,14.745903915579,16.9119688975285,15.884476534296,11.2191058039433,13.2185504026659,0.0315159574468085,0.0317695961995249,0.0316071428571428,0.0291108986615678,0.0299163179916317,0.0291907514450867,0.0306701030927835,376,421,420,523,478,346,388
2,19,12000586,13.4962510413774,13.3574007220217,15.2457650652597,15.4679255762288,15.3013051930019,10.5526242710358,16.5787281310747,0.0302238805970149,0.0317282321899736,0.0326009501187648,0.0300755939524838,0.0308856502242152,0.029968454258675,0.0313550420168067,402,379,421,463,446,317,476
2,20,12000597,13.1352402110525,13.6351013607331,17.1618994723688,16.8008886420439,15.5512357678423,11.6634268258817,12.0522077200778,0.0303205128205128,0.0332655826558265,0.0353546910755148,0.0319092827004219,0.0304347826086956,0.0300859598853868,0.0284776902887139,390,369,437,474,460,349,381
2,21,12000610,12.9408497639545,12.857539572341,17.578450430436,16.439877811719,13.6906414884754,11.913357400722,14.5792835323521,0.0301033591731266,0.0297557840616966,0.0329687499999999,0.0307053941908713,0.0294856459330143,0.0293032786885245,0.0309551886792452,387,389,480,482,418,366,424
2,22,12000621,12.1355179116912,15.9400166620383,17.2729797278534,14.2182727020272,13.6351013607331,14.1349625104138,12.6353790613718,0.0313936781609195,0.0328375286041189,0.0355835240274599,0.0310679611650485,0.0308417085427135,0.030885922330097,0.0298556430446194,348,437,437,412,398,412,381
